

CATCH COMPARISONS
******************
OPTION FILE   DESCRIPTION
===========   ==============================================
0107B.OP7     Stage 2 calibration 0107B




CEILINGS SPECIFIED FOR Alaska T
Catch level comparison

      Actual   0107B    |0107B   
Year   Catch    MDL Cat | Compare
==== ========  ======== |========
1989    98384     91039 |   0.925
1990    84122     76501 |   0.909
1991    54993     58906 |   1.071
1992    39661     45474 |   1.147
1993    44560     46981 |   1.054
1994    60604     65501 |   1.081
1995    99121     82116 |   0.828
1996    83105     81702 |   0.983
1997    66406     72058 |   1.085
1998    77297     85153 |   1.102
1999   116204    103325 |   0.889
2000   105800    113834 |   1.076
2001   105955    102899 |   0.971

TERMINAL RUN CALIBRATION FOR PSN
----------------------------------------------
COMPARISON FOR ADULTS ONLY

       Calib   0107B    |0107B   
Year   Specs    TRM Run | Compare
==== ========  ======== |========
1979    28435     27061 |   0.952
1980    23341     21746 |   0.932
1981    12131     15788 |   1.301
1982    13438     17647 |   1.313
1983    29377     24615 |   0.838
1984    23234     24221 |   1.042
1985    27595     26218 |   0.950
1986    23951     28656 |   1.196
1987    42059     39923 |   0.949
1988    47124     46056 |   0.977
1989    51605     53940 |   1.045
1990    61372     51392 |   0.837
1991    37257     40890 |   1.098
1992    26453     28316 |   1.070
1993    21252     24106 |   1.134
1994    31120     29504 |   0.948
1995    36749     33667 |   0.916
1996    36965     33397 |   0.903
1997    21288     26562 |   1.248
1998    29612     28201 |   0.952
1999    31104     28218 |   0.907
2000    20050     24365 |   1.215
2001    18900     19938 |   1.055

TERMINAL RUN CALIBRATION FOR SKG
----------------------------------------------
COMPARISON FOR ADULTS ONLY

       Calib   0107B    |0107B   
Year   Specs    TRM Run | Compare
==== ========  ======== |========
1979    24124     26322 |   1.091
1980    30887     29765 |   0.964
1981    21430     23979 |   1.119
1982    24053     21585 |   0.897
1983    15270     15078 |   0.987
1984    15764     18100 |   1.148
1985    25891     28508 |   1.101
1986    22541     19313 |   0.857
1987    13344     13119 |   0.983
1988    14984     15801 |   1.055
1989    13391     15700 |   1.172
1990    19381     15942 |   0.823
1991     8564      9910 |   1.157
1992     9114      8088 |   0.887
1993     6926      6525 |   0.942
1994     6189      7248 |   1.171
1995     9452      9513 |   1.006
1996    12239     10504 |   0.858
1997     6214      9821 |   1.580
1998    14931      9821 |   0.658
1999     4939      8640 |   1.749
2000    16843     13502 |   0.802
2001     9183      9064 |   0.987

TERMINAL RUN CALIBRATION FOR SNO
----------------------------------------------
COMPARISON FOR ADULTS ONLY

       Calib   0107B    |0107B   
Year   Specs    TRM Run | Compare
==== ========  ======== |========
1979    13583     14635 |   1.077
1980    17616     14366 |   0.816
1981     9776     11640 |   1.191
1982     9112     10059 |   1.104
1983    11052     10002 |   0.905
1984     8819      9293 |   1.054
1985     9352      9007 |   0.963
1986     8664      8396 |   0.969
1987     6967      7643 |   1.097
1988     7744      7236 |   0.934
1989     6263      7154 |   1.142
1990     8437      6942 |   0.823
1991     5046      5789 |   1.147
1992     4355      4961 |   1.139
1993     5498      4953 |   0.901
1994     5017      4653 |   0.927
1995     3358      4155 |   1.237
1996     4869      4454 |   0.915
1997     4408      4868 |   1.104
1998     6364      5481 |   0.861
1999     4832      5498 |   1.138
2000     6000      5837 |   0.973
2001     5760      5876 |   1.020

TERMINAL RUN CALIBRATION FOR WCH
----------------------------------------------
COMPARISON FOR ADULTS ONLY

       Calib   0107B    |0107B   
