"year","stock","fishery","age","preTerm catch","Term catch","preterm shakers","term shakers","preterm legal dropoffs","term legal dropoffs","preterm sublegal dropoffs","term sublegal dropoffs","preterm CNRlegal","term CNRlegal","preterm CNRlegal dropoffs","term CNRlegal dropoffs","preterm CNRsublegal","term CNRsublegal","preterm CNRsublegal dropoffs","term CNRsublegal dropoffs"
1979,11,4,5,0,0,2.21,0,0,0,0.15,0,0,0,0,0,0,0,0,0
1979,11,7,2,0,0,797.14,0,0,0,53.14,0,0,0,0,0,0,0,0,0
1979,11,7,3,708.93,0,489.18,0,12.05,0,32.61,0,0,0,0,0,0,0,0,0
1979,11,7,4,168.54,0,55.14,0,2.87,0,3.68,0,0,0,0,0,0,0,0,0
1979,11,7,5,0,0,3.62,0,0,0,0.24,0,0,0,0,0,0,0,0,0
1979,11,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,11,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,11,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,11,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,11,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,11,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,11,19,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,11,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,11,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,11,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,11,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,11,20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
